JobId,ArrayId,Program,Nodes,Tasks,MaxThreads,Particles,DiffCoeff,TimeStep,EndTime,WallTime
7508,4,hybrid,2,8,2,12800,1.5,0.001,100.0,77.573
7507,5,hybrid,2,8,1,128000,1.5,0.001,100.0,389.298
7508,3,hybrid,2,8,2,1280000,1.5,0.001,10.0,179.415
7509,1,hybrid,2,8,4,12800,1.5,0.001,10.0,8.477
7509,2,hybrid,2,8,4,128000,1.5,0.001,10.0,16.417
7509,3,hybrid,2,8,4,1280000,1.5,0.001,10.0,106.083
7508,5,hybrid,2,8,2,128000,1.5,0.001,100.0,237.582
7509,4,hybrid,2,8,4,12800,1.5,0.001,100.0,70.564
7509,5,hybrid,2,8,4,128000,1.5,0.001,100.0,154.574
7510,1,hybrid,2,8,8,12800,1.5,0.001,10.0,9.200
7510,2,hybrid,2,8,8,128000,1.5,0.001,10.0,12.099
7510,3,hybrid,2,8,8,1280000,1.5,0.001,10.0,54.632
7510,4,hybrid,2,8,8,12800,1.5,0.001,100.0,65.189
